"filename", "language", "JSON", "XML", "UnityShader", "C#", "Markdown", "comment", "blank", "total"
"d:\Projects\Unity\kpp\Assets\Plugins\Facepunch.Steamworks\Facepunch.Steamworks.Posix.xml", "XML", 0, 4242, 0, 0, 0, 0, 42, 4284
"d:\Projects\Unity\kpp\Assets\Plugins\Facepunch.Steamworks\Facepunch.Steamworks.Win32.xml", "XML", 0, 4242, 0, 0, 0, 0, 42, 4284
"d:\Projects\Unity\kpp\Assets\Plugins\Facepunch.Steamworks\Facepunch.Steamworks.Win64.xml", "XML", 0, 4242, 0, 0, 0, 0, 42, 4284
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\Core\BidirectionalDictionary.cs", "C#", 0, 0, 0, 74, 0, 0, 23, 97
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\Core\ByteArrayPool.cs", "C#", 0, 0, 0, 35, 0, 4, 7, 46
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\Core\ClientHostSocket.cs", "C#", 0, 0, 0, 109, 0, 0, 25, 134
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\Core\ClientSocket.cs", "C#", 0, 0, 0, 163, 0, 0, 39, 202
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\Core\CommonSocket.cs", "C#", 0, 0, 0, 74, 0, 0, 23, 97
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\Core\FacepunchConnectionManager.cs", "C#", 0, 0, 0, 13, 0, 0, 2, 15
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\Core\FacepunchSocketManager.cs", "C#", 0, 0, 0, 14, 0, 0, 2, 16
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\Core\LocalPacket.cs", "C#", 0, 0, 0, 22, 0, 0, 4, 26
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\Core\NetworkConstants.cs", "C#", 0, 0, 0, 12, 0, 0, 1, 13
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\Core\ServerSocket.cs", "C#", 0, 0, 0, 250, 0, 2, 54, 306
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\FacepunchTransport.cs", "C#", 0, 0, 0, 242, 0, 4, 71, 317
"d:\Projects\Unity\kpp\Assets\Plugins\PurrNetFacepunchTransport\README.md", "Markdown", 0, 0, 0, 0, 17, 0, 3, 20
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Editor\SplitterGUILayout.cs", "C#", 0, 0, 0, 50, 0, 1, 12, 63
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Editor\UniTask.Editor.asmdef", "JSON", 17, 0, 0, 0, 0, 0, 0, 17
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Editor\UniTaskTrackerTreeView.cs", "C#", 0, 0, 0, 157, 0, 0, 30, 187
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Editor\UniTaskTrackerWindow.cs", "C#", 0, 0, 0, 164, 0, 6, 40, 210
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\AsyncLazy.cs", "C#", 0, 0, 0, 214, 0, 0, 32, 246
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\AsyncReactiveProperty.cs", "C#", 0, 0, 0, 518, 0, 8, 118, 644
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\AsyncUnit.cs", "C#", 0, 0, 0, 21, 0, 0, 6, 27
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\CancellationTokenEqualityComparer.cs", "C#", 0, 0, 0, 18, 0, 0, 6, 24
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\CancellationTokenExtensions.cs", "C#", 0, 0, 0, 152, 0, 0, 31, 183
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\CancellationTokenSourceExtensions.cs", "C#", 0, 0, 0, 35, 0, 0, 10, 45
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Channel.cs", "C#", 0, 0, 0, 377, 0, 1, 72, 450
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\CompilerServices\AsyncMethodBuilderAttribute.cs", "C#", 0, 0, 0, 13, 0, 0, 5, 18
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\CompilerServices\AsyncUniTaskMethodBuilder.cs", "C#", 0, 0, 0, 222, 0, 20, 27, 269
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\CompilerServices\AsyncUniTaskVoidMethodBuilder.cs", "C#", 0, 0, 0, 107, 0, 14, 17, 138
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\CompilerServices\StateMachineRunner.cs", "C#", 0, 0, 0, 310, 0, 8, 63, 381
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\EnumerableAsyncExtensions.cs", "C#", 0, 0, 0, 25, 0, 1, 9, 35
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\EnumeratorAsyncExtensions.cs", "C#", 0, 0, 0, 245, 0, 5, 37, 287
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\ExceptionExtensions.cs", "C#", 0, 0, 0, 11, 0, 0, 4, 15
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\External\Addressables\AddressablesAsyncExtensions.cs", "C#", 0, 0, 0, 404, 0, 2, 77, 483
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\External\Addressables\UniTask.Addressables.asmdef", "JSON", 28, 0, 0, 0, 0, 0, 1, 29
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\External\DOTween\DOTweenAsyncExtensions.cs", "C#", 0, 0, 0, 371, 0, 4, 62, 437
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\External\DOTween\UniTask.DOTween.asmdef", "JSON", 22, 0, 0, 0, 0, 0, 0, 22
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\External\TextMeshPro\TextMeshProAsyncExtensions.InputField.cs", "C#", 0, 0, 0, 179, 0, 0, 45, 224
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\External\TextMeshPro\TextMeshProAsyncExtensions.cs", "C#", 0, 0, 0, 112, 0, 2, 16, 130
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\External\TextMeshPro\UniTask.TextMeshPro.asmdef", "JSON", 27, 0, 0, 0, 0, 0, 1, 28
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\IUniTaskAsyncEnumerable.cs", "C#", 0, 0, 0, 70, 0, 5, 16, 91
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\IUniTaskSource.cs", "C#", 0, 0, 0, 93, 0, 11, 24, 128
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\ArrayPool.cs", "C#", 0, 0, 0, 126, 0, 3, 22, 151
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\ArrayPoolUtil.cs", "C#", 0, 0, 0, 97, 0, 0, 19, 116
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\ArrayUtil.cs", "C#", 0, 0, 0, 59, 0, 4, 11, 74
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\ContinuationQueue.cs", "C#", 0, 0, 0, 196, 0, 4, 26, 226
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\DiagnosticsExtensions.cs", "C#", 0, 0, 0, 211, 0, 7, 32, 250
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\Error.cs", "C#", 0, 0, 0, 66, 0, 0, 14, 80
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\MinimumQueue.cs", "C#", 0, 0, 0, 96, 0, 1, 15, 112
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\PlayerLoopRunner.cs", "C#", 0, 0, 0, 231, 0, 5, 25, 261
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\PooledDelegate.cs", "C#", 0, 0, 0, 42, 0, 0, 8, 50
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\RuntimeHelpersAbstraction.cs", "C#", 0, 0, 0, 48, 0, 4, 13, 65
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\StatePool.cs", "C#", 0, 0, 0, 129, 0, 0, 25, 154
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\TaskTracker.cs", "C#", 0, 0, 0, 147, 0, 9, 23, 179
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\UnityEqualityComparer.cs", "C#", 0, 0, 0, 224, 0, 0, 44, 268
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\UnityWebRequestExtensions.cs", "C#", 0, 0, 0, 25, 0, 0, 3, 28
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\ValueStopwatch.cs", "C#", 0, 0, 0, 29, 0, 0, 8, 37
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Internal\WeakDictionary.cs", "C#", 0, 0, 0, 290, 0, 9, 36, 335
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\Aggregate.cs", "C#", 0, 0, 0, 274, 0, 2, 42, 318
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\All.cs", "C#", 0, 0, 0, 96, 0, 0, 12, 108
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\Any.cs", "C#", 0, 0, 0, 120, 0, 0, 16, 136
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\AppendPrepend.cs", "C#", 0, 0, 0, 125, 0, 0, 27, 152
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\AsUniTaskAsyncEnumerable.cs", "C#", 0, 0, 0, 10, 0, 0, 1, 11
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\AsyncEnumeratorBase.cs", "C#", 0, 0, 0, 297, 0, 13, 46, 356
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\Average.cs", "C#", 0, 0, 0, 1322, 0, 0, 203, 1525
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\Buffer.cs", "C#", 0, 0, 0, 299, 0, 0, 46, 345
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\Cast.cs", "C#", 0, 0, 0, 44, 0, 0, 9, 53
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\CombineLatest.cs", "C#", 0, 0, 0, 10467, 0, 0, 905, 11372
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\Concat.cs", "C#", 0, 0, 0, 139, 0, 0, 25, 164
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\Contains.cs", "C#", 0, 0, 0, 45, 0, 0, 5, 50
"d:\Projects\Unity\kpp\Assets\Plugins\UniTask\Runtime\Linq\Count.cs", "C#", 0, 0, 0, 124, 0, 0, 20, 144
